gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,che,dlc,ebit,lct,revt,costat,mkvalt,gsector
001075,20101231,2010,INDL,C,D,STD,PNW,USD,12362.7030,110.1880,648.4790,723.8840,1310.7360,3263.6450,A,4508.5165,55
001075,20111231,2011,INDL,C,D,STD,PNW,USD,13111.0180,33.5830,477.4350,746.5080,1342.7050,3241.3790,A,5263.4723,55
001075,20121231,2012,INDL,C,D,STD,PNW,USD,13379.6150,26.2020,215.0030,851.7550,1083.5420,3301.8040,A,5594.6981,55
001075,20131231,2013,INDL,C,D,STD,PNW,USD,13508.6860,9.5260,693.5490,846.3230,1618.6440,3454.6280,A,5830.8314,55
001075,20141231,2014,INDL,C,D,STD,PNW,USD,14313.5320,7.6040,530.9700,811.2420,1559.1430,3491.6320,A,7553.1050,55
001075,20151231,2015,INDL,C,D,STD,PNW,USD,15028.2580,39.4880,357.5800,854.6020,1442.3170,3495.4430,A,7155.9904,55
001075,20161231,2016,INDL,C,D,STD,PNW,USD,16004.2530,8.8810,302.2000,855.9840,1292.9460,3498.6820,A,8687.6261,55
001075,20171231,2017,INDL,C,D,STD,PNW,USD,17019.0820,13.8920,177.4000,934.4270,1197.8520,3565.2960,A,9519.0354,55
001075,20181231,2018,INDL,C,D,STD,PNW,USD,17664.2020,5.7660,576.4000,773.6870,1648.9640,3691.2470,A,9551.0904,55
001075,20191231,2019,INDL,C,D,STD,PNW,USD,18479.2470,10.2830,927.3880,671.9600,2078.3650,3471.2090,A,10111.3695,55
001078,20021231,2002,INDL,C,D,STD,ABT,USD,24259.1020,966.1270,2148.6540,3940.8410,7002.2020,17684.6630,A,62522.7200,35
001078,20031231,2003,INDL,C,D,STD,ABT,USD,26715.3420,1286.4210,2537.3570,4164.7720,7639.5350,19680.5610,A,72906.5388,35
001078,20041231,2004,INDL,C,D,STD,ABT,USD,28767.4940,2058.9620,1992.6830,4455.3260,6825.6440,19680.0160,A,72775.1196,35
001078,20051231,2005,INDL,C,D,STD,ABT,USD,29141.2030,2956.0930,2062.0100,4835.3990,7415.5140,22287.8080,A,60692.0361,35
001078,20061231,2006,INDL,C,D,STD,ABT,USD,36178.1720,1373.4350,5401.2610,4860.2190,11951.1950,22476.3220,A,74879.1065,35
001078,20071231,2007,INDL,C,D,STD,ABT,USD,39713.9240,2820.8270,2725.9150,5523.5450,9103.2780,25914.2380,A,87027.4465,35
001078,20081231,2008,INDL,C,D,STD,ABT,USD,42419.2040,5079.6250,3647.9570,6477.0950,11591.9080,29527.5520,A,82853.3492,35
001078,20091231,2009,INDL,C,D,STD,ABT,USD,52416.6230,9932.0480,5225.7250,6903.7410,13049.4890,30764.7070,A,83747.5603,35
001078,20101231,2010,INDL,C,D,STD,ABT,USD,59462.2660,7323.9400,6394.7660,8038.7810,17262.4340,35166.7210,A,74116.0034,35
001078,20111231,2011,INDL,C,D,STD,ABT,USD,60276.8930,8097.3590,3374.7550,8996.4480,15480.2280,38851.2590,A,88302.4112,35
001078,20121231,2012,INDL,C,D,STD,ABT,USD,67234.9440,15173.9840,2390.6620,9783.5150,13280.1760,39873.9100,A,103271.6885,35
001078,20131231,2013,INDL,C,D,STD,ABT,USD,42953.0000,8098.0000,3173.0000,2674.0000,9507.0000,21848.0000,A,59338.5963,35
001078,20141231,2014,INDL,C,D,STD,ABT,USD,41275.0000,4460.0000,4437.0000,2927.0000,10532.0000,20247.0000,A,67891.7357,35
001078,20151231,2015,INDL,C,D,STD,ABT,USD,41247.0000,6125.0000,3130.0000,3372.0000,9186.0000,20405.0000,A,66137.3852,35
001078,20161231,2016,INDL,C,D,STD,ABT,USD,52666.0000,18775.0000,1325.0000,3622.0000,6660.0000,20853.0000,A,56572.8983,35
001078,20171231,2017,INDL,C,D,STD,ABT,USD,76250.0000,9610.0000,714.0000,3996.0000,8912.0000,27390.0000,A,99507.3661,35
001078,20181231,2018,INDL,C,D,STD,ABT,USD,67173.0000,4086.0000,207.0000,4284.0000,9012.0000,30578.0000,A,126983.9223,35
001078,20191231,2019,INDL,C,D,STD,ABT,USD,67887.0000,4140.0000,1683.0000,5041.0000,10863.0000,31904.0000,A,153091.0106,35
001111,20040331,2003,INDL,C,D,STD,ATVI.1,USD,968.8170,587.6490,0.0000,109.8170,136.0790,947.6560,I,2172.5764,45
001111,20050331,2004,INDL,C,D,STD,ATVI.1,USD,1306.9630,840.8640,0.0000,184.5710,207.0510,1405.8570,I,2975.2588,45
001111,20060331,2005,INDL,C,D,STD,ATVI.1,USD,1418.2550,944.9600,0.0000,15.2260,193.8560,1468.0000,I,3820.1196,45
001111,20070331,2006,INDL,C,D,STD,ATVI.1,USD,1793.9470,954.8490,0.0000,73.1470,341.1690,1513.0120,I,5365.9103,45
001111,20080331,2007,INDL,C,D,STD,ATVI.1,USD,2530.6730,1449.2120,0.0000,479.6140,556.0710,2898.1360,I,8046.9188,45
001161,20021231,2002,INDL,C,D,STD,AMD,USD,5619.1810,1037.7050,161.6890,-852.8110,1372.0790,2697.0290,A,2225.6509,45
001161,20031231,2003,INDL,C,D,STD,AMD,USD,7094.3450,1313.3670,193.2660,-247.2770,1452.2700,3519.1680,A,5218.7697,45
001161,20041231,2004,INDL,C,D,STD,AMD,USD,7844.2100,1195.5590,230.8280,227.2650,1846.3760,5001.4350,A,8626.0928,45
001161,20051231,2005,INDL,C,D,STD,AMD,USD,7287.7790,1794.7660,43.2240,247.6550,1821.9610,5847.5770,A,13327.1262,45
001161,20061231,2006,INDL,C,D,STD,AMD,USD,13147.0000,1541.0000,125.0000,401.0000,2852.0000,5649.0000,A,11131.4500,45
001161,20071231,2007,INDL,C,D,STD,AMD,USD,11550.0000,1889.0000,238.0000,-1211.0000,2625.0000,6013.0000,A,4545.0000,45
001161,20081231,2008,INDL,C,D,STD,AMD,USD,7675.0000,1096.0000,372.0000,-968.0000,2226.0000,5808.0000,A,1315.4400,45
001161,20091231,2009,INDL,C,D,STD,AMD,USD,9078.0000,2676.0000,479.0000,-513.0000,2210.0000,5403.0000,A,6495.2800,45
001161,20101231,2010,INDL,C,D,STD,AMD,USD,4964.0000,1789.0000,233.0000,492.0000,1674.0000,6494.0000,A,5586.9400,45
001161,20111231,2011,INDL,C,D,STD,AMD,USD,4954.0000,1765.0000,489.0000,495.0000,1774.0000,6568.0000,A,3769.2000,45
001161,20121231,2012,INDL,C,D,STD,AMD,USD,4000.0000,1002.0000,5.0000,31.0000,1397.0000,5422.0000,A,1711.2000,45
001161,20131231,2013,INDL,C,D,STD,AMD,USD,4337.0000,1097.0000,60.0000,85.0000,1618.0000,5299.0000,A,2805.7500,45
001161,20141231,2014,INDL,C,D,STD,AMD,USD,3767.0000,1040.0000,177.0000,149.0000,1440.0000,5506.0000,A,2071.9200,45
001161,20151231,2015,INDL,C,D,STD,AMD,USD,3109.0000,785.0000,230.0000,-319.0000,1403.0000,3991.0000,A,2273.0400,45
001161,20161231,2016,INDL,C,D,STD,AMD,USD,3321.0000,1264.0000,0.0000,-130.0000,1346.0000,4272.0000,A,10602.9000,45
001161,20171231,2017,INDL,C,D,STD,AMD,USD,3540.0000,1187.0000,70.0000,152.0000,1486.0000,5329.0000,A,9940.7600,45
001161,20181231,2018,INDL,C,D,STD,AMD,USD,4556.0000,1161.0000,136.0000,496.0000,1984.0000,6475.0000,A,18552.3000,45
001161,20191231,2019,INDL,C,D,STD,AMD,USD,6028.0000,1507.0000,43.0000,583.0000,2359.0000,6731.0000,A,53656.2000,45
001164,20041231,2004,INDL,C,D,STD,MCIP,USD,17060.0000,5504.0000,24.0000,209.0000,6203.0000,20658.0000,I,6442.2893,50
001166,20031231,2003,INDL,C,D,STD,ASMIY,USD,846.8980,195.0840,35.9020,26.0450,238.4070,732.9790,A,1013.2549,45
001166,20061231,2006,INDL,C,D,STD,ASMIY,USD,1098.3820,255.8530,35.6330,170.8750,310.5440,1158.0250,A,1126.6410,45
001166,20071231,2007,INDL,C,D,STD,ASMIY,USD,1227.1380,245.2180,46.8970,215.2180,352.4270,1394.9360,A,1288.2945,45
001166,20091231,2009,INDL,C,D,STD,ASMIY,USD,1220.6560,421.2220,49.2230,15.0930,327.9620,846.6470,A,1331.9163,45
001166,20101231,2010,INDL,C,D,STD,ASMIY,USD,1611.0120,451.5330,75.2160,450.9340,562.9790,1622.6660,A,1853.1493,45
001166,20111231,2011,INDL,C,D,STD,ASMIY,USD,2052.6150,506.2700,58.3940,348.4660,592.2520,2120.2210,A,1609.2556,45
001166,20121231,2012,INDL,C,D,STD,ASMIY,USD,1977.2490,383.0200,89.6530,117.5490,551.3010,1869.8630,A,2289.1229,45
001166,20131231,2013,INDL,C,D,STD,ASMIY,USD,2137.4660,430.5070,0.0000,60.1960,139.9260,843.6560,A,2094.4440,45
001166,20141231,2014,INDL,C,D,STD,ASMIY,USD,2210.7720,466.8290,0.0000,109.6540,163.2520,660.2350,A,2667.9542,45
001166,20151231,2015,INDL,C,D,STD,ASMIY,USD,2254.3030,485.3050,0.0000,140.0520,124.9820,727.1410,A,2344.8280,45
001166,20161231,2016,INDL,C,D,STD,ASMIY,USD,2266.8470,399.0310,0.0000,90.0850,124.3770,630.9360,A,2273.0080,45
001166,20171231,2017,INDL,C,D,STD,ASMIY,USD,2617.4310,1005.5930,0.0000,137.0140,182.0610,886.5030,A,2133.3200,45
001177,20021231,2002,INDL,C,D,STD,AET,USD,40047.5000,18091.6000,0.0000,825.3000,7718.8000,19878.7000,I,6166.6019,35
001177,20031231,2003,INDL,C,D,STD,AET,USD,40950.2000,18165.0000,0.0000,1659.9000,7367.5000,17976.4000,I,10307.5719,35
001177,20041231,2004,INDL,C,D,STD,AET,USD,42133.7000,16793.7000,0.0000,2048.6000,7011.3000,19904.1000,I,18276.2493,35
001177,20051231,2005,INDL,C,D,STD,AET,USD,44364.6000,15684.6000,450.0000,2603.5000,7616.8000,22491.9000,I,26713.3075,35
001177,20061231,2006,INDL,C,D,STD,AET,USD,47626.4000,15338.3000,45.0000,2712.6000,7103.0000,25145.7000,I,22280.8800,35
001177,20071231,2007,INDL,C,D,STD,AET,USD,50724.7000,2078.2000,130.7000,2912.7000,7674.7000,27599.6000,I,28651.3990,35
001177,20081231,2008,INDL,C,D,STD,AET,USD,35852.5000,1815.1000,215.7000,2483.7000,7554.8000,30950.7000,I,13004.5500,35
001177,20091231,2009,INDL,C,D,STD,AET,USD,38550.4000,4040.2000,480.8000,2169.9000,8464.2000,34733.9000,I,13656.3600,35
001177,20101231,2010,INDL,C,D,STD,AET,USD,37739.4000,3982.1000,899.9000,2856.1000,8736.9000,34246.0000,I,11728.0440,35
001177,20111231,2011,INDL,C,D,STD,AET,USD,38593.1000,2849.8000,425.9000,3461.7000,8522.2000,33779.8000,I,14753.8430,35
001177,20121231,2012,INDL,C,D,STD,AET,USD,41494.5000,4586.7000,0.0000,3034.3000,8487.6000,36595.9000,I,15171.1560,35
001177,20141231,2014,INDL,C,D,STD,AET,USD,53402.1000,3891.4000,729.3000,4219.7000,15356.5000,58003.2000,I,31072.7340,35
